Id,Open,Close,High,Low,Volume,Date
2385,0,1056.2,1056.2,1056.2,,11/27/15
2386,1071,1073.1,1073.1,1071,,11/26/15
2387,1075.72,1071.3,1080.64,1068.12,,11/25/15
2388,1069.3,1075.79,1080.75,1069.28,,11/24/15
2389,1074.65,1065,1076.74,1065,,11/23/15
2390,1082.25,1078.8,1087.2,1076.05,,11/20/15
2391,1071.8,1082.2,1086.09,1070.005,,11/19/15
2392,1071.85,1070.8,1074.05,1065.87,,11/18/15
2393,1083.89,1070.25,1084.63,1065.93,,11/17/15
2394,1088.15,1083.04,1098.05,1081.645,,11/16/15
2395,1085.2,1083.7,1088.125,1080.375,,11/13/15
2396,1086.65,1086.6,1089.6,1075.05,,11-12-2015
2397,1090,1086.24,1093.45,1084.21,,11-11-2015
2398,1092.35,1089.9,1094.48,1086.125,,11-10-2015
2399,1090.35,1092.125,1095.43,1088.82,,11-09-2015
2400,1104.85,1089.85,1112.55,1085.7,,11-06-2015
2401,1108.1,1103.95,1111.55,1103.15,,11-05-2015
2402,1118.3,1102,1122.8,1102,,11-04-2015
2403,1134.1,1114.2,1138.28,1114.2,,11-03-2015
2404,1141.6,1133.55,1142.9,1133.15,,11-02-2015
2405,1142.05,1142.05,1142.05,1142.05,,11-01-2015
2406,1145.88,1142.05,1150.05,1139.85,,10/30/15
2407,1157.55,1146.78,1162.75,1144.68,,10/29/15
2408,1167.45,1157.55,1182.8,1153.05,,10/28/15
2409,1164.05,1167.25,1168.15,1161.28,,10/27/15
2410,1163.15,1163.5,1169.35,1162.55,,10/26/15
2411,1164.45,1163.05,1164.45,1162.45,,10/25/15
2412,1166.4,1164.45,1179.46,1159.17,,10/23/15
2413,1167.7,1168.5,1171.375,1163.235,,10/22/15
2414,1176.55,1167.1,1179.25,1164.02,,10/21/15
2415,1170,1173.5,1180.33,1167.5,,10/20/15
2416,1176.75,1170.75,1178.15,1168.85,,10/19/15
2417,1182.25,1177.55,1184.48,1174.96,,10/16/15
2418,1184.75,1181.3,1191.03,1176.365,,10/15/15
2419,0,1185.33,1185.33,1185.33,,10/14/15
2420,1163.6,1168.9,1168.9,1151.91,,10/13/15
2421,1155.7,1169.9,1169.9,1154.95,,10-12-2015
2422,1157.53,1157.53,1157.53,1157.53,,10-10-2015
2423,1139.15,1157.53,1159.765,1139.1,,10-09-2015
2424,1145.35,1154,1154,1137.21,,10-08-2015
2425,1147.05,1155,1155,1142.44,,10-07-2015
2426,1135.95,1153.9,1153.9,1135.25,,10-06-2015
2427,1137.2,1135.75,1141.57,1130.33,,10-05-2015
2428,1138.14,1138.14,1138.14,1138.14,,10-04-2015
2429,1114.08,1138.14,1141.5,1105.25,,10-02-2015
2430,1115.7,1114.08,1118.855,1111.255,,10-01-2015
2431,1127.45,1115,1128.1,1112.255,,09/30/15
2432,1132.25,1127.25,1134.225,1124.605,,09/29/15
2433,1145.5,1132.05,1147.85,1128.32,,09/28/15
2434,1150.2,1145.8,1151.15,1141.255,,09/25/15
2435,1132.05,1153.05,1156.48,1131.95,,09/24/15
2436,1125.05,1130.4,1133.98,1122.05,,09/23/15
2437,1133.4,1124.65,1136.15,1121.725,,09/22/15
2438,1139.45,1133.4,1140,1130.605,,09/21/15
2439,1131.15,1139.4,1141.765,1127.65,,09/18/15
2440,1119.5,1130.85,1133.5,1115.855,,09/17/15
2441,1105.55,1119.55,1124.18,1104.15,,09/16/15
2442,1109.2,1105.4,1109.2,1103.32,,09/15/15
2443,1107.65,1108.8,1110.45,1103.7,,09/14/15
2444,1107.9,1107.9,1107.9,1107.9,,09/13/15
2445,1111.15,1107.9,1112.75,1098.75,,09-11-2015
2446,1107.15,1111.65,1114.625,1104,,09-10-2015
2447,1122,1106.1,1125.25,1101.725,,09-09-2015
2448,1119.3,1121.8,1126.57,1118.8,,09-08-2015
2449,1123.35,1119.3,1124.85,1116.6,,09-07-2015
2450,1125.3,1123,1129.605,1117.71,,09-04-2015
2451,1133.9,1122,1134.25,1121.1,,09-03-2015
2452,1140,1134.05,1142.5,1132.75,,09-02-2015
2453,1137.5,1140,1147.82,1137.3,,09-01-2015
2454,1133.95,1134.5,1136.68,1126.07,,08/31/15
2455,1125.65,1133.96,1140.68,1124.105,,08/28/15
2456,1126.2,1125.85,1129.3,1118.865,,08/27/15
2457,1140.45,1125.55,1146.35,1117.93,,08/26/15
2458,1153.4,1140.65,1156.55,1134.95,,08/25/15
2459,1164.65,1155.15,1170.16,1147.855,,08/24/15
2460,1153.9,1160.15,1167.65,1149.07,,08/21/15
2461,1133.9,1163,1163,1132.85,,08/20/15
2462,1118.15,1136.6,1140,1116.35,,08/19/15
2463,1117.7,1118,1121.275,1110.44,,08/18/15
2464,1114.9,1114.3,1122.8,1113.75,,08/17/15
2465,1115.35,1113.7,1120.98,1111.93,,08/14/15
2466,1125.35,1115.05,1126.35,1113.71,,08/13/15
2467,1108.9,1126.6,1127.48,1102.03,,08-12-2015
2468,0,1108.61,1108.61,1108.61,,08-11-2015
2469,1093.3,1104.5,1108.875,1090,,08-10-2015
2470,1094.2,1094.2,1094.2,1094.2,,08-09-2015
2471,1089.95,1094.2,1099.48,1083.35,,08-07-2015
2472,1085.1,1089.6,1093.875,1083.65,,08-06-2015
2473,1087.4,1083.2,1091.635,1083.16,,08-05-2015
2474,1084.95,1082.9,1094.3,1081.22,,08-04-2015
2475,1094.53,1086.13,1097.75,1085.92,,08-03-2015
2476,1088.85,1094.53,1105.875,1080.25,,07/31/15
2477,1105.85,1087.9,1105.85,1083.05,,07/30/15
2478,1095.4,1114,1114,1090.91,,07/29/15
2479,1095.2,1100.2,1100.2,1091.8,,07/28/15
2480,1096.95,1094.31,1105.05,1089.625,,07/27/15
2481,1099,1099,1099,1099,,07/26/15
2482,1090.45,1099,1101.375,1077.5,,07/24/15
2483,1095,1090.8,1105.725,1087.375,,07/23/15
2484,1101.65,1094.5,1103.3,1087.48,,07/22/15
2485,1098.65,1101.45,1109.875,1097.05,,07/21/15
2486,1132.7,1108,1133.1,1088.45,,07/20/15
2487,1145.55,1134.1,1145.65,1131.45,,07/17/15
2488,1148.75,1139.9,1149.45,1139.9,,07/16/15
2489,1155.7,1149.65,1156.95,1143.97,,07/15/15
2490,1158,1155.9,1159.125,1153.225,,07/14/15
2491,1164,1158,1164.2,1151.52,,07/13/15
2492,1159.3,1163.9,1164.91,1157.9,,07-10-2015
2493,1159.45,1159.65,1166.83,1156.15,,07-09-2015
2494,1153.7,1158.6,1164.46,1147.4,,07-08-2015
2495,1170.35,1164.7,1170.35,1148.725,,07-07-2015
2496,1173.2,1170.15,1175.1,1163.48,,07-06-2015
2497,1165.85,1168.9,1169.93,1164.95,,07-03-2015
2498,1168.7,1172.1,1172.1,1157.625,,07-02-2015
2499,1178,1168.8,1179.3,1167.91,,07-01-2015
2500,1179.95,1172.6,1180.63,1167.52,,06/30/15
2501,1185.2,1184.1,1187.2,1174.225,,06/29/15
2502,1173.55,1174.8,1178.35,1169.7,,06/26/15
2503,1175.35,1170,1178.15,1170,,06/25/15
2504,1178.35,1175.2,1180.125,1171.725,,06/24/15
2505,1185.65,1178.15,1188.15,1176.66,,06/23/15
2506,1200.25,1185.45,1201.15,1182.3,,06/22/15
2507,1201.75,1204,1204.16,1198.605,,06/19/15
2508,1184.4,1206,1206,1183.85,,06/18/15
2509,1181.755,1185.45,1189.235,1174.71,,06/17/15
2510,1185.95,1181.855,1187.775,1176.32,,06/16/15
2511,1182.1,1186.4,1190,1173.25,,06/15/15
2512,1182.05,1181.3,1184.3,1176.9,,06-12-2015
2513,1186.85,1187,1187.93,1176.54,,06-11-2015
2514,1177.3,1185.85,1191.98,1175.65,,06-10-2015
2515,1174.45,1176.7,1183.03,1172.75,,06-09-2015
2516,1170.15,1174.05,1177.45,1169.1,,06-08-2015
2517,1177.05,1172,1178.55,1162.95,,06-05-2015
2518,1185.4,1177.1,1186.35,1173.05,,06-04-2015
2519,1193.7,1185.3,1195.15,1180.75,,06-03-2015
2520,1188.85,1193.6,1196,1186.15,,06-02-2015
2521,1191.25,1189.15,1204.2,1184.8,,06-01-2015
2522,1187.95,1190.5,1193.25,1186.55,,05/29/15
2523,1188.1,1188.45,1192.15,1180.95,,05/28/15
2524,1187.25,1188.15,1190.8,1184.7,,05/27/15
2525,1206.95,1182.3,1207.65,1182.3,,05/26/15
2526,1205.15,1200.95,1208.75,1200.95,,05/25/15
2527,1206.55,1205.95,1215,1202,,05/22/15
2528,1209.75,1206.45,1212.85,1201.9,,05/21/15
